Sales Person,Country,Product,Date,Amount,Boxes Shipped
Van Tuxwell,UK,99% Dark & Pure,2024-01-31,5283.91,136
Camilla Castle,USA,White Choc,2024-08-18,10958.51,23
Andria Kimpton,USA,Raspberry Choco,2024-06-30,15531.78,22
Dotty Strutley,Australia,Fruit & Nut Bars,2024-08-23,317.36,337
Brien Boise,New Zealand,Mint Chip Choco,2024-08-01,71.41,188
Roddy Speechley,New Zealand,After Nines,2024-05-25,9317.33,11
Roddy Speechley,Canada,Organic Choco Syrup,2024-01-10,4790.71,86
Dennison Crosswaite,Australia,70% Dark Bites,2024-02-07,6166.8,114
Karlen McCaffrey,USA,Orange Choco,2024-05-12,11741.46,433
Madelene Upcott,Australia,Spicy Special Slims,2024-03-07,8519.77,443
Dennison Crosswaite,Australia,85% Dark Bars,2024-04-05,8278.86,453
Andria Kimpton,Canada,Caramel Stuffed Bars,2024-01-03,7560.62,336
Dennison Crosswaite,UK,Eclairs,2024-03-24,6702.11,285
Madelene Upcott,India,Raspberry Choco,2024-07-07,4758.69,10
Van Tuxwell,USA,After Nines,2024-07-26,709.25,263
Wilone O'Kielt,Australia,Organic Choco Syrup,2024-07-07,2003.05,110
Karlen McCaffrey,Canada,50% Dark Bites,2024-07-15,3248.0,64
Roddy Speechley,New Zealand,Orange Choco,2024-04-01,51.98,95
Beverie Moffet,Australia,Eclairs,2024-06-20,2134.65,6
Kelci Walkden,UK,Fruit & Nut Bars,2024-06-29,15540.41,520
Marney O'Breen,USA,50% Dark Bites,2024-06-15,1117.77,114
Husein Augar,USA,After Nines,2024-04-08,13999.05,179
Dennison Crosswaite,Australia,Raspberry Choco,2024-03-14,6265.59,31
Andria Kimpton,USA,Fruit & Nut Bars,2024-07-15,1536.82,386
Kelci Walkden,India,Eclairs,2024-04-19,6069.93,80
Marney O'Breen,USA,99% Dark & Pure,2024-03-28,4861.33,286
Brien Boise,Canada,Spicy Special Slims,2024-03-04,8993.24,97
Karlen McCaffrey,New Zealand,70% Dark Bites,2024-08-02,150.42,40
Husein Augar,UK,Spicy Special Slims,2024-08-25,5593.68,41
Marney O'Breen,USA,Almond Choco,2024-02-25,9376.61,167
Kelci Walkden,India,Orange Choco,2024-06-07,11315.16,134
Jan Morforth,India,Spicy Special Slims,2024-04-12,2048.34,506
Ches Bonnell,India,Spicy Special Slims,2024-07-06,12562.81,101
Kelci Walkden,UK,Smooth Sliky Salty,2024-01-19,6883.75,182
Madelene Upcott,Australia,Fruit & Nut Bars,2024-01-05,6105.6,90
Madelene Upcott,Canada,70% Dark Bites,2024-01-24,12634.72,145
Wilone O'Kielt,Australia,Drinking Coco,2024-04-06,663.74,285
Gunar Cockshoot,Australia,Fruit & Nut Bars,2024-06-15,7044.68,21
Gigi Bohling,Canada,Baker's Choco Chips,2024-01-28,1804.9,47
Kelci Walkden,India,Caramel Stuffed Bars,2024-03-16,513.43,131
Rafaelita Blaksland,Australia,Drinking Coco,2024-02-21,13699.76,389
Kelci Walkden,USA,Manuka Honey Choco,2024-02-16,19995.68,94
Jehu Rudeforth,Canada,Spicy Special Slims,2024-01-13,2189.7,29
Kelci Walkden,Australia,Eclairs,2024-03-23,8727.09,523
Curtice Advani,Canada,Spicy Special Slims,2024-06-16,911.46,126
Oby Sorrel,India,Raspberry Choco,2024-04-14,7620.86,46
Kelci Walkden,UK,Eclairs,2024-01-25,5054.56,60
Jan Morforth,India,Almond Choco,2024-03-11,5230.5,23
Dotty Strutley,UK,Almond Choco,2024-07-28,17104.04,103
Marney O'Breen,New Zealand,After Nines,2024-03-09,1642.32,43
Husein Augar,Australia,Orange Choco,2024-06-28,10322.19,182
Marney O'Breen,Australia,Milk Bars,2024-07-28,2715.92,423
Kelci Walkden,Canada,99% Dark & Pure,2024-08-15,5598.05,51
Kaine Padly,Australia,Manuka Honey Choco,2024-01-12,2996.99,280
Beverie Moffet,New Zealand,White Choc,2024-03-24,7946.49,7
Van Tuxwell,UK,Milk Bars,2024-07-25,4991.22,92
Oby Sorrel,Canada,99% Dark & Pure,2024-08-01,4151.7,424
Van Tuxwell,India,Organic Choco Syrup,2024-05-16,22701.85,168
Roddy Speechley,India,Smooth Sliky Salty,2024-08-10,6014.3,141
Jan Morforth,India,Eclairs,2024-01-05,2788.6,27
Ches Bonnell,UK,Smooth Sliky Salty,2024-07-11,6503.75,116
Wilone O'Kielt,USA,After Nines,2024-04-25,433.92,31
Gigi Bohling,New Zealand,Fruit & Nut Bars,2024-04-04,12314.13,129
Barr Faughny,USA,Raspberry Choco,2024-04-12,9876.86,106
Wilone O'Kielt,New Zealand,85% Dark Bars,2024-08-02,2043.06,121
Gigi Bohling,New Zealand,Manuka Honey Choco,2024-06-28,8728.8,272
Ches Bonnell,Australia,Eclairs,2024-07-05,4906.57,128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2024-06-07,2278.06,49
Brien Boise,New Zealand,Smooth Sliky Salty,2024-01-18,1108.18,27
Brien Boise,Australia,Baker's Choco Chips,2024-01-04,14957.65,206
Dennison Crosswaite,Australia,99% Dark & Pure,2024-01-31,3020.67,19
Kelci Walkden,India,Almond Choco,2024-03-14,3677.47,152
Camilla Castle,Australia,70% Dark Bites,2024-04-29,6999.62,500
Oby Sorrel,India,Smooth Sliky Salty,2024-02-07,10901.65,116
Kaine Padly,UK,Organic Choco Syrup,2024-03-31,2586.62,172
Marney O'Breen,India,Caramel Stuffed Bars,2024-03-16,5077.5,81
Karlen McCaffrey,UK,Eclairs,2024-01-25,8360.11,203
Van Tuxwell,India,Baker's Choco Chips,2024-06-20,3566.77,426
Gigi Bohling,UK,After Nines,2024-03-29,9186.69,173
Curtice Advani,Australia,Orange Choco,2024-07-12,917.35,140
Jehu Rudeforth,Canada,Smooth Sliky Salty,2024-07-11,6199.12,132
Karlen McCaffrey,Canada,Smooth Sliky Salty,2024-01-19,3368.63,180
Andria Kimpton,USA,85% Dark Bars,2024-04-05,10527.23,82
Jehu Rudeforth,Canada,Milk Bars,2024-02-21,7927.57,12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2024-05-20,14493.5,15
Mallorie Waber,Australia,Milk Bars,2024-07-29,3112.2,107
Barr Faughny,USA,Fruit & Nut Bars,2024-01-28,9617.64,44
Marney O'Breen,UK,Caramel Stuffed Bars,2024-07-19,4198.08,107
Mallorie Waber,New Zealand,Manuka Honey Choco,2024-04-13,10927.22,11
Roddy Speechley,India,Peanut Butter Cubes,2024-02-11,10759.18,20
Roddy Speechley,New Zealand,Milk Bars,2024-03-02,6250.42,111
Ches Bonnell,Australia,White Choc,2024-03-02,1103.54,195
Van Tuxwell,USA,99% Dark & Pure,2024-07-28,13435.98,6
Kelci Walkden,India,After Nines,2024-01-07,1855.03,563
Brien Boise,UK,White Choc,2024-04-12,5799.09,169
Van Tuxwell,Canada,Almond Choco,2024-06-27,3631.78,71
Jehu Rudeforth,Australia,50% Dark Bites,2024-01-14,5461.43,456
Karlen McCaffrey,UK,Baker's Choco Chips,2024-02-07,5315.95,389
Jehu Rudeforth,Australia,Orange Choco,2024-03-23,16059.94,28
Marney O'Breen,India,Peanut Butter Cubes,2024-01-10,7803.84,157
Oby Sorrel,UK,Choco Coated Almonds,2024-03-17,10751.19,44
Gigi Bohling,USA,Spicy Special Slims,2024-01-21,12156.54,54
Barr Faughny,Australia,White Choc,2024-07-04,9402.26,401
Kaine Padly,Canada,Peanut Butter Cubes,2024-07-04,3653.39,185
Dotty Strutley,USA,Manuka Honey Choco,2024-08-10,320.11,201
Dennison Crosswaite,Australia,50% Dark Bites,2024-04-01,7618.91,12
Gigi Bohling,India,Raspberry Choco,2024-02-22,2843.9,158
Camilla Castle,UK,White Choc,2024-01-03,11946.4,192
Karlen McCaffrey,India,Drinking Coco,2024-05-31,5055.05,241
Dotty Strutley,UK,99% Dark & Pure,2024-01-03,10378.36,301
Husein Augar,New Zealand,Caramel Stuffed Bars,2024-01-27,595.16,461
Barr Faughny,UK,50% Dark Bites,2024-01-28,639.95,71
Curtice Advani,Australia,Organic Choco Syrup,2024-06-28,3717.35,322
Husein Augar,UK,Choco Coated Almonds,2024-03-02,5057.1,41
Wilone O'Kielt,Australia,After Nines,2024-05-27,3729.83,27
Dennison Crosswaite,USA,Almond Choco,2024-06-30,13786.87,85
Barr Faughny,Canada,Peanut Butter Cubes,2024-06-07,2206.28,79
Kaine Padly,USA,70% Dark Bites,2024-05-12,4672.25,103
Barr Faughny,New Zealand,Raspberry Choco,2024-07-29,7667.99,69
Dennison Crosswaite,UK,White Choc,2024-08-03,8338.51,270
Barr Faughny,India,Baker's Choco Chips,2024-08-18,7548.62,153
Van Tuxwell,New Zealand,Smooth Sliky Salty,2024-06-14,3608.83,46
Beverie Moffet,UK,White Choc,2024-06-30,7108.96,80
Camilla Castle,New Zealand,Mint Chip Choco,2024-06-13,1293.02,201
Ches Bonnell,UK,Orange Choco,2024-04-27,15365.78,57
Jan Morforth,Australia,White Choc,2024-07-27,3766.49,33
Mallorie Waber,Canada,85% Dark Bars,2024-04-20,1664.68,465
Rafaelita Blaksland,India,Spicy Special Slims,2024-01-04,8972.79,134
Ches Bonnell,Australia,Mint Chip Choco,2024-02-21,10576.55,96
Karlen McCaffrey,Australia,White Choc,2024-01-05,8857.15,50
Beverie Moffet,India,Drinking Coco,2024-07-15,6756.17,45
Brien Boise,Australia,Choco Coated Almonds,2024-05-25,5532.85,63
Karlen McCaffrey,Canada,Eclairs,2024-04-20,3713.66,352
Gigi Bohling,USA,99% Dark & Pure,2024-06-02,906.85,246
Marney O'Breen,UK,Smooth Sliky Salty,2024-05-13,22558.88,84
Beverie Moffet,New Zealand,Baker's Choco Chips,2024-08-03,1517.05,147
Beverie Moffet,Australia,Milk Bars,2024-05-25,770.45,389
Van Tuxwell,UK,Raspberry Choco,2024-03-16,7623.35,80
Jan Morforth,Australia,Orange Choco,2024-07-04,3418.05,117
Jehu Rudeforth,India,50% Dark Bites,2024-07-05,4055.71,137
Madelene Upcott,USA,After Nines,2024-03-15,5432.84,450
Barr Faughny,UK,Raspberry Choco,2024-08-22,6016.8,71
Ches Bonnell,Australia,70% Dark Bites,2024-01-12,3609.76,122
Marney O'Breen,UK,Baker's Choco Chips,2024-06-10,302.25,154
Kaine Padly,Australia,Peanut Butter Cubes,2024-03-25,6062.87,290
Rafaelita Blaksland,India,Almond Choco,2024-07-27,3589.91,106
Husein Augar,UK,Caramel Stuffed Bars,2024-04-15,16457.28,442
Roddy Speechley,India,Orange Choco,2024-06-27,4813.53,19
Jehu Rudeforth,UK,70% Dark Bites,2024-04-14,5819.17,270
Husein Augar,Australia,Manuka Honey Choco,2024-03-15,7824.91,100
Madelene Upcott,USA,Eclairs,2024-03-18,9446.67,193
Brien Boise,India,Eclairs,2024-04-29,1447.58,67
Mallorie Waber,New Zealand,White Choc,2024-02-25,3356.27,238
Husein Augar,USA,Milk Bars,2024-03-02,1031.25,55
Van Tuxwell,Australia,Milk Bars,2024-06-20,9471.51,95
Beverie Moffet,Canada,White Choc,2024-07-15,10573.29,179
Dotty Strutley,Australia,50% Dark Bites,2024-05-12,3321.9,247
Mallorie Waber,New Zealand,Organic Choco Syrup,2024-07-01,5318.0,281
Husein Augar,USA,85% Dark Bars,2024-08-08,415.67,59
Madelene Upcott,Australia,50% Dark Bites,2024-07-25,8295.88,6
Wilone O'Kielt,UK,Drinking Coco,2024-05-18,3857.25,54
Camilla Castle,India,Peanut Butter Cubes,2024-07-15,14102.83,291
Curtice Advani,India,70% Dark Bites,2024-07-05,2453.44,43
Mallorie Waber,USA,Manuka Honey Choco,2024-07-04,5910.67,100
Dotty Strutley,UK,70% Dark Bites,2024-06-20,1515.42,230
Gunar Cockshoot,Australia,Almond Choco,2024-01-25,4498.05,464
Kaine Padly,New Zealand,Spicy Special Slims,2024-07-01,8755.31,38
Gigi Bohling,USA,50% Dark Bites,2024-04-13,2651.48,60
Beverie Moffet,UK,Smooth Sliky Salty,2024-05-04,5119.35,77
Beverie Moffet,Australia,Baker's Choco Chips,2024-08-04,3360.74,119
Beverie Moffet,India,70% Dark Bites,2024-06-01,495.65,146
Jehu Rudeforth,UK,Choco Coated Almonds,2024-04-22,5108.85,187
Kaine Padly,USA,50% Dark Bites,2024-08-03,77.1,26
Ches Bonnell,USA,Orange Choco,2024-06-10,1860.29,71
Gunar Cockshoot,UK,Manuka Honey Choco,2024-06-27,7917.76,50
Marney O'Breen,Australia,Smooth Sliky Salty,2024-01-03,4059.92,179
Marney O'Breen,India,After Nines,2024-07-11,2816.85,188
Ches Bonnell,New Zealand,Milk Bars,2024-08-17,5306.48,128
Rafaelita Blaksland,USA,Fruit & Nut Bars,2024-01-18,2756.63,66
Ches Bonnell,India,Organic Choco Syrup,2024-03-08,17903.7,107
Mallorie Waber,Australia,Orange Choco,2024-03-07,15825.08,284
Husein Augar,India,70% Dark Bites,2024-05-09,7745.33,164
Barr Faughny,New Zealand,85% Dark Bars,2024-05-23,2214.91,161
Madelene Upcott,UK,Caramel Stuffed Bars,2024-04-15,190.24,156
Gigi Bohling,Australia,Drinking Coco,2024-07-27,2960.0,141
Marney O'Breen,Canada,Choco Coated Almonds,2024-08-22,2937.62,389
Ches Bonnell,USA,70% Dark Bites,2024-05-11,4778.36,124
Madelene Upcott,India,Organic Choco Syrup,2024-01-26,5401.01,41
Barr Faughny,USA,50% Dark Bites,2024-04-14,15372.94,124
Dennison Crosswaite,New Zealand,Mint Chip Choco,2024-04-05,7121.02,433
Marney O'Breen,New Zealand,Smooth Sliky Salty,2024-06-14,9057.64,56
Brien Boise,Canada,Almond Choco,2024-04-13,5439.43,125
Beverie Moffet,Australia,White Choc,2024-06-27,2659.78,178
Dotty Strutley,Australia,Eclairs,2024-01-26,7897.59,3
Barr Faughny,UK,White Choc,2024-07-05,1959.22,70
Beverie Moffet,Canada,Baker's Choco Chips,2024-01-11,15305.32,91
Kelci Walkden,USA,White Choc,2024-03-07,11257.11,21
Kaine Padly,Canada,50% Dark Bites,2024-03-04,9207.09,109
Karlen McCaffrey,Canada,Organic Choco Syrup,2024-07-15,2769.94,302
Kaine Padly,UK,Peanut Butter Cubes,2024-05-11,7477.56,85
Karlen McCaffrey,USA,Milk Bars,2024-01-27,5231.54,8
Karlen McCaffrey,India,Orange Choco,2024-06-27,3745.21,161
Ches Bonnell,India,Smooth Sliky Salty,2024-08-03,8503.93,19
Wilone O'Kielt,New Zealand,Mint Chip Choco,2024-08-19,12524.3,251
Wilone O'Kielt,Australia,Fruit & Nut Bars,2024-06-15,472.27,101
Dennison Crosswaite,UK,Peanut Butter Cubes,2024-02-07,9771.87,158
Karlen McCaffrey,Australia,Almond Choco,2024-07-08,8130.06,140
Dennison Crosswaite,India,Milk Bars,2024-04-21,1624.06,96
Ches Bonnell,UK,Mint Chip Choco,2024-04-08,2984.4,214
Husein Augar,Australia,50% Dark Bites,2024-08-19,15593.5,56
Jan Morforth,India,Fruit & Nut Bars,2024-05-04,3387.76,60
Mallorie Waber,USA,85% Dark Bars,2024-05-11,2847.18,115
Mallorie Waber,USA,Eclairs,2024-03-22,7511.77,49
Dennison Crosswaite,Canada,Spicy Special Slims,2024-08-10,2711.58,216
Dennison Crosswaite,USA,Fruit & Nut Bars,2024-05-04,1673.44,314
Kelci Walkden,USA,99% Dark & Pure,2024-08-18,8853.16,261
Dotty Strutley,Canada,Raspberry Choco,2024-08-03,4722.39,258
Marney O'Breen,New Zealand,Milk Bars,2024-01-14,8408.12,318
Madelene Upcott,Australia,Choco Coated Almonds,2024-04-08,2442.36,78
Kelci Walkden,UK,Orange Choco,2024-08-01,4010.08,3
Dennison Crosswaite,Canada,Eclairs,2024-03-15,492.21,45
Karlen McCaffrey,India,Mint Chip Choco,2024-07-15,11650.88,192
Barr Faughny,New Zealand,Almond Choco,2024-01-13,6426.04,132
Mallorie Waber,Australia,85% Dark Bars,2024-08-26,2665.28,54
Ches Bonnell,Canada,Eclairs,2024-01-10,2048.58,170
Gigi Bohling,Australia,White Choc,2024-05-11,6267.19,83
Beverie Moffet,New Zealand,85% Dark Bars,2024-08-30,12886.26,21
Kaine Padly,USA,Caramel Stuffed Bars,2024-07-21,6143.64,117
Mallorie Waber,Australia,Almond Choco,2024-08-01,8273.83,130
Brien Boise,Canada,85% Dark Bars,2024-02-17,12163.59,264
Brien Boise,Australia,Drinking Coco,2024-07-27,7192.41,159
Dotty Strutley,USA,Orange Choco,2024-02-23,1452.94,112
Rafaelita Blaksland,Australia,50% Dark Bites,2024-03-22,3375.83,41
Dennison Crosswaite,India,99% Dark & Pure,2024-06-23,8328.8,327
Curtice Advani,UK,White Choc,2024-02-01,1634.54,70
Kelci Walkden,Australia,After Nines,2024-03-02,8265.41,298
Gigi Bohling,UK,Fruit & Nut Bars,2024-04-06,1448.1,92
Gunar Cockshoot,Australia,Raspberry Choco,2024-03-17,709.53,77
Curtice Advani,UK,Fruit & Nut Bars,2024-06-24,12197.19,135
Barr Faughny,Canada,50% Dark Bites,2024-07-19,10917.59,302
Curtice Advani,USA,Spicy Special Slims,2024-07-11,1679.89,287
Brien Boise,India,Almond Choco,2024-01-13,2303.17,225
Oby Sorrel,New Zealand,Smooth Sliky Salty,2024-07-07,9261.26,65
Jan Morforth,India,85% Dark Bars,2024-05-25,5252.8,415
Marney O'Breen,India,Fruit & Nut Bars,2024-04-13,5385.55,161
Andria Kimpton,New Zealand,50% Dark Bites,2024-03-02,3741.19,222
Gunar Cockshoot,Canada,Raspberry Choco,2024-06-23,2223.49,127
Kelci Walkden,USA,Drinking Coco,2024-07-26,7720.37,156
Van Tuxwell,Canada,White Choc,2024-03-22,468.09,3
Rafaelita Blaksland,USA,Baker's Choco Chips,2024-06-09,3083.39,55
Van Tuxwell,Australia,Caramel Stuffed Bars,2024-05-17,6898.94,58
Ches Bonnell,New Zealand,Peanut Butter Cubes,2024-03-04,1036.05,291
Kelci Walkden,Canada,Milk Bars,2024-07-07,17518.04,28
Dennison Crosswaite,Canada,Choco Coated Almonds,2024-01-13,11691.86,128
Curtice Advani,Australia,Almond Choco,2024-07-13,3136.53,74
Madelene Upcott,Australia,85% Dark Bars,2024-06-16,1677.71,325
Gigi Bohling,UK,50% Dark Bites,2024-07-18,8937.37,66
Ches Bonnell,UK,Manuka Honey Choco,2024-05-30,4761.38,406
Gigi Bohling,UK,70% Dark Bites,2024-06-21,942.02,84
Jehu Rudeforth,Australia,Peanut Butter Cubes,2024-06-24,6623.03,39
Marney O'Breen,India,Eclairs,2024-01-13,4067.36,94
Curtice Advani,Canada,Fruit & Nut Bars,2024-04-04,4712.55,211
Kaine Padly,UK,Smooth Sliky Salty,2024-06-08,9571.3,594
Karlen McCaffrey,Canada,Spicy Special Slims,2024-08-02,6779.99,46
Kelci Walkden,USA,Organic Choco Syrup,2024-07-21,10772.46,150
Curtice Advani,India,Spicy Special Slims,2024-06-20,189.34,140
Roddy Speechley,India,After Nines,2024-06-22,3015.47,115
Camilla Castle,Australia,Caramel Stuffed Bars,2024-05-02,3538.27,16
Curtice Advani,Australia,99% Dark & Pure,2024-01-07,5196.97,87
Mallorie Waber,UK,50% Dark Bites,2024-02-21,6654.14,102
Ches Bonnell,Canada,Baker's Choco Chips,2024-03-21,8639.19,402
Van Tuxwell,UK,Drinking Coco,2024-04-04,6397.05,136
Gunar Cockshoot,Canada,Fruit & Nut Bars,2024-03-24,14596.37,196
Gunar Cockshoot,New Zealand,Spicy Special Slims,2024-06-28,7712.91,192
Gunar Cockshoot,Australia,Drinking Coco,2024-01-14,2456.77,188
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,2024-02-07,1435.27,138
Dennison Crosswaite,New Zealand,Drinking Coco,2024-01-11,4324.48,202
Jehu Rudeforth,India,99% Dark & Pure,2024-02-25,2207.76,247
Dotty Strutley,Australia,Mint Chip Choco,2024-08-01,7571.51,26
Roddy Speechley,Australia,Mint Chip Choco,2024-05-05,7189.76,262
Madelene Upcott,New Zealand,Raspberry Choco,2024-05-18,10858.21,451
Dotty Strutley,New Zealand,Choco Coated Almonds,2024-01-04,6524.65,369
Roddy Speechley,New Zealand,50% Dark Bites,2024-05-09,4624.45,212
Rafaelita Blaksland,India,Smooth Sliky Salty,2024-05-06,1961.82,80
Husein Augar,UK,White Choc,2024-01-13,12782.63,158
Roddy Speechley,Australia,Almond Choco,2024-06-24,4928.3,71
Van Tuxwell,USA,Caramel Stuffed Bars,2024-02-14,1115.84,22
Camilla Castle,Australia,99% Dark & Pure,2024-01-18,5346.62,109
Kaine Padly,India,Milk Bars,2024-05-02,3168.11,93
Ches Bonnell,Australia,Smooth Sliky Salty,2024-05-16,9007.92,52
Mallorie Waber,USA,Almond Choco,2024-01-28,7400.07,383
Kaine Padly,Canada,99% Dark & Pure,2024-06-24,1420.22,422
Oby Sorrel,UK,After Nines,2024-07-18,2555.95,109
Gunar Cockshoot,UK,Eclairs,2024-04-13,4059.65,175
Dotty Strutley,USA,Caramel Stuffed Bars,2024-04-15,18581.37,83
Jan Morforth,India,Peanut Butter Cubes,2024-01-04,8813.58,182
Husein Augar,Australia,Eclairs,2024-07-04,7914.74,31
Beverie Moffet,USA,Smooth Sliky Salty,2024-03-24,2787.72,342
Camilla Castle,Australia,Manuka Honey Choco,2024-03-17,681.71,170
Oby Sorrel,Australia,Almond Choco,2024-02-15,6827.53,241
Jan Morforth,USA,Orange Choco,2024-06-29,1082.0,158
Gigi Bohling,USA,Fruit & Nut Bars,2024-05-24,2966.98,121
Mallorie Waber,UK,Milk Bars,2024-01-10,3951.74,287
Curtice Advani,USA,Raspberry Choco,2024-03-15,3151.23,144
Marney O'Breen,Canada,Milk Bars,2024-02-08,2672.67,317
Brien Boise,India,Caramel Stuffed Bars,2024-02-25,1742.37,106
Gunar Cockshoot,USA,Eclairs,2024-05-03,7301.31,42
Roddy Speechley,USA,Fruit & Nut Bars,2024-06-14,6322.14,26
Gunar Cockshoot,India,50% Dark Bites,2024-08-09,13731.44,82
Wilone O'Kielt,New Zealand,Manuka Honey Choco,2024-07-11,4051.88,253
Kaine Padly,UK,Manuka Honey Choco,2024-01-14,8474.69,115
